rank,german,article,plural,english,pos,example_de,example_en
1,null,,,"zero",numeral,"Draußen sind es null Grad.","It is zero degrees outside."
2,eins,,,"one",numeral,"Ich nehme nur eins.","I will take just one."
3,zwei,,,"two",numeral,"Wir haben zwei Karten.","We have two tickets."
4,drei,,,"three",numeral,"Sie hat drei Kinder.","She has three children."
5,vier,,,"four",numeral,"Der Tisch hat vier Beine.","The table has four legs."
6,fünf,,,"five",numeral,"Ich bin in fünf Minuten da.","I will be there in five minutes."
7,sechs,,,"six",numeral,"Wir treffen uns um sechs.","We are meeting at six."
8,sieben,,,"seven",numeral,"Die Woche hat sieben Tage.","The week has seven days."
9,acht,,,"eight",numeral,"Der Film beginnt um acht.","The film starts at eight."
10,neun,,,"nine",numeral,"Sie arbeitet bis neun.","She works until nine."
11,zehn,,,"ten",numeral,"Das kostet zehn Euro.","That costs ten euros."
12,elf,,,"eleven",numeral,"Elf Leute haben zugesagt.","Eleven people said yes."
13,zwölf,,,"twelve",numeral,"Um zwölf gibt es Mittagessen.","Lunch is at twelve."
14,dreizehn,,,"thirteen",numeral,"Mein Sohn ist dreizehn.","My son is thirteen."
15,vierzehn,,,"fourteen",numeral,"Wir bleiben vierzehn Tage.","We are staying fourteen days."
16,fünfzehn,,,"fifteen",numeral,"Der Bus kommt in fünfzehn Minuten.","The bus comes in fifteen minutes."
17,sechzehn,,,"sixteen",numeral,"Sie ist sechzehn Jahre alt.","She is sixteen years old."
18,siebzehn,,,"seventeen",numeral,"Siebzehn Schüler sind da.","Seventeen pupils are here."
19,achtzehn,,,"eighteen",numeral,"Mit achtzehn darf man wählen.","At eighteen you may vote."
20,neunzehn,,,"nineteen",numeral,"Das Zimmer hat die Nummer neunzehn.","The room is number nineteen."
21,zwanzig,,,"twenty",numeral,"Ich habe zwanzig Euro dabei.","I have twenty euros with me."
22,einundzwanzig,,,"twenty-one",numeral,"Sie wurde einundzwanzig.","She turned twenty-one."
23,zweiundzwanzig,,,"twenty-two",numeral,"Der Zug fährt um zweiundzwanzig Uhr.","The train leaves at twenty-two hundred."
24,fünfundzwanzig,,,"twenty-five",numeral,"Das dauert fünfundzwanzig Minuten.","That takes twenty-five minutes."
25,dreißig,,,"thirty",numeral,"Der Monat hat dreißig Tage.","The month has thirty days."
26,vierzig,,,"forty",numeral,"Er ist über vierzig.","He is over forty."
27,fünfzig,,,"fifty",numeral,"Fünfzig Prozent sind fertig.","Fifty percent is done."
28,sechzig,,,"sixty",numeral,"Eine Minute hat sechzig Sekunden.","A minute has sixty seconds."
29,siebzig,,,"seventy",numeral,"Meine Oma ist siebzig.","My grandma is seventy."
30,achtzig,,,"eighty",numeral,"Wir fahren achtzig Kilometer.","We are driving eighty kilometers."
31,neunzig,,,"ninety",numeral,"Das Spiel dauert neunzig Minuten.","The game lasts ninety minutes."
32,hundert,,,"hundred",numeral,"Hundert Gäste sind eingeladen.","A hundred guests are invited."
33,zweihundert,,,"two hundred",numeral,"Das Buch hat zweihundert Seiten.","The book has two hundred pages."
34,tausend,,,"thousand",numeral,"Tausend Dank!","A thousand thanks!"
35,Million,die,Millionen,"million",noun,"Die Stadt hat eine Million Einwohner.","The city has a million inhabitants."
36,Milliarde,die,Milliarden,"billion",noun,"Das Projekt kostet eine Milliarde.","The project costs a billion."
37,erste,,,"first",numeral,"Er wohnt im ersten Stock.","He lives on the first floor."
38,zweite,,,"second",numeral,"Nimm die zweite Straße links.","Take the second street on the left."
39,dritte,,,"third",numeral,"Das ist mein drittes Glas.","That is my third glass."
40,vierte,,,"fourth",numeral,"Sie sitzt in der vierten Reihe.","She is sitting in the fourth row."
41,fünfte,,,"fifth",numeral,"Heute ist der fünfte Mai.","Today is the fifth of May."
42,sechste,,,"sixth",numeral,"Das sechste Kind heißt Anna.","The sixth child is called Anna."
43,siebte,,,"seventh",numeral,"Der siebte Versuch hat geklappt.","The seventh attempt worked."
44,achte,,,"eighth",numeral,"Wir feiern den achten Geburtstag.","We are celebrating the eighth birthday."
45,neunte,,,"ninth",numeral,"Die neunte Frage war schwer.","The ninth question was hard."
46,zehnte,,,"tenth",numeral,"Das ist ihr zehnter Marathon.","That is her tenth marathon."
47,zwanzigste,,,"twentieth",numeral,"Am zwanzigsten fahren wir weg.","On the twentieth we are going away."
48,letzte,,,"last",numeral,"Das war die letzte Runde.","That was the last round."
49,halb,,,"half",adjective,"Ich hätte gern ein halbes Kilo.","I would like half a kilo."
50,Hälfte,die,Hälften,"half",noun,"Die Hälfte fehlt noch.","Half of it is still missing."
