rank,german,article,plural,english,pos,example_de,example_en
1,der,,,"the (masculine)",article,"Der Mann liest ein Buch.","The man is reading a book."
2,die,,,"the (feminine or plural)",article,"Die Frau kommt heute.","The woman is coming today."
3,und,,,"and",conjunction,"Ich trinke Kaffee und Tee.","I drink coffee and tea."
4,in,,,"in; into",preposition,"Wir wohnen in Berlin.","We live in Berlin."
5,das,,,"the (neuter); that",article,"Das Kind spielt draußen.","The child is playing outside."
6,sein,,,"to be",verb,"Ich will glücklich sein.","I want to be happy."
7,zu,,,"to; too",preposition,"Ich gehe zu meiner Schwester.","I am going to my sister's."
8,ich,,,"I",pronoun,"Ich komme aus Amerika.","I come from America."
9,ein,,,"a; an; one",article,"Das ist ein guter Plan.","That is a good plan."
10,haben,,,"to have",verb,"Wir haben keine Zeit.","We have no time."
11,nicht,,,"not",adverb,"Das verstehe ich nicht.","I do not understand that."
12,mit,,,"with",preposition,"Sie fährt mit dem Bus.","She takes the bus."
13,sich,,,"himself; herself; themselves",pronoun,"Er wäscht sich die Hände.","He is washing his hands."
14,auf,,,"on; onto",preposition,"Das Buch liegt auf dem Tisch.","The book is lying on the table."
15,es,,,"it",pronoun,"Es regnet seit gestern.","It has been raining since yesterday."
16,von,,,"from; of; by",preposition,"Das ist ein Geschenk von meiner Mutter.","That is a gift from my mother."
17,werden,,,"to become; will",verb,"Es wird bald dunkel.","It will get dark soon."
18,für,,,"for",preposition,"Diese Blumen sind für dich.","These flowers are for you."
19,auch,,,"also; too",adverb,"Ich möchte auch mitkommen.","I would like to come along too."
20,an,,,"at; on; to",preposition,"Das Bild hängt an der Wand.","The picture is hanging on the wall."
21,sie,,,"she; they; you (formal)",pronoun,"Sie arbeitet in einem Krankenhaus.","She works in a hospital."
22,als,,,"when; than; as",conjunction,"Er ist größer als ich.","He is taller than I am."
23,aus,,,"out of; from",preposition,"Sie kommt aus Italien.","She comes from Italy."
24,er,,,"he",pronoun,"Er spielt sehr gut Klavier.","He plays the piano very well."
25,so,,,"so; thus; like this",adverb,"So habe ich das nicht gemeint.","That is not how I meant it."
