rank,german,article,plural,english,pos,example_de,example_en
1,Zeit,die,Zeiten,"time",noun,"Ich habe heute keine Zeit.","I do not have time today."
2,Uhr,die,Uhren,"clock; watch; o'clock",noun,"Die Uhr geht falsch.","The clock is wrong."
3,Uhrzeit,die,Uhrzeiten,"time of day",noun,"Wie ist die genaue Uhrzeit?","What is the exact time?"
4,Sekunde,die,Sekunden,"second",noun,"Warte eine Sekunde!","Wait a second!"
5,Minute,die,Minuten,"minute",noun,"Der Bus kommt in fünf Minuten.","The bus comes in five minutes."
6,Stunde,die,Stunden,"hour",noun,"Wir warten seit einer Stunde.","We have been waiting for an hour."
7,Tag,der,Tage,"day",noun,"Der Tag war lang und heiß.","The day was long and hot."
8,Woche,die,Wochen,"week",noun,"Nächste Woche fahre ich weg.","Next week I am going away."
9,Monat,der,Monate,"month",noun,"Der Monat ist fast vorbei.","The month is almost over."
10,Jahr,das,Jahre,"year",noun,"Nächstes Jahr fahren wir nach Spanien.","Next year we are going to Spain."
11,Jahrzehnt,das,Jahrzehnte,"decade",noun,"Das war vor einem Jahrzehnt.","That was a decade ago."
12,Jahrhundert,das,Jahrhunderte,"century",noun,"Die Kirche ist aus dem 12. Jahrhundert.","The church is from the 12th century."
13,Moment,der,Momente,"moment",noun,"Einen Moment, bitte!","One moment, please!"
14,Augenblick,der,Augenblicke,"instant; moment",noun,"Im Augenblick geht es nicht.","At the moment it is not possible."
15,Datum,das,Daten,"date",noun,"Welches Datum haben wir heute?","What is the date today?"
16,Kalender,der,Kalender,"calendar",noun,"Ich schreibe es in den Kalender.","I will write it in the calendar."
17,Termin,der,Termine,"appointment",noun,"Ich habe einen Termin beim Arzt.","I have a doctor's appointment."
18,Montag,der,Montage,"Monday",noun,"Am Montag beginnt die Schule.","School starts on Monday."
19,Dienstag,der,Dienstage,"Tuesday",noun,"Dienstag habe ich einen Kurs.","On Tuesday I have a class."
20,Mittwoch,der,Mittwoche,"Wednesday",noun,"Wir treffen uns am Mittwoch.","We are meeting on Wednesday."
21,Donnerstag,der,Donnerstage,"Thursday",noun,"Der Markt ist am Donnerstag.","The market is on Thursday."
22,Freitag,der,Freitage,"Friday",noun,"Am Freitag habe ich frei.","I am off on Friday."
23,Samstag,der,Samstage,"Saturday",noun,"Am Samstag schlafe ich lange.","On Saturday I sleep in."
24,Sonntag,der,Sonntage,"Sunday",noun,"Am Sonntag besuchen wir Oma.","On Sunday we visit Grandma."
25,Wochenende,das,Wochenenden,"weekend",noun,"Schönes Wochenende!","Have a nice weekend!"
26,Wochentag,der,Wochentage,"weekday",noun,"An Wochentagen stehe ich früh auf.","On weekdays I get up early."
