rank,german,article,plural,english,pos,example_de,example_en
1,Restaurant,das,Restaurants,"restaurant",noun,"Wir essen heute im Restaurant.","We are eating at a restaurant today."
2,Speisekarte,die,Speisekarten,"menu",noun,"Können wir die Speisekarte haben?","Could we have the menu?"
3,Kellner,der,Kellner,"waiter",noun,"Der Kellner bringt die Getränke.","The waiter is bringing the drinks."
4,Kellnerin,die,Kellnerinnen,"waitress",noun,"Die Kellnerin war sehr freundlich.","The waitress was very friendly."
5,Tisch,der,Tische,"table",noun,"Wir haben einen Tisch reserviert.","We have reserved a table."
6,reservieren,,,"to reserve; to book",verb,"Ich möchte einen Tisch reservieren.","I would like to book a table."
7,bestellen,,,"to order",verb,"Was möchtest du bestellen?","What would you like to order?"
8,Rechnung,die,Rechnungen,"bill; check",noun,"Die Rechnung, bitte!","The bill, please!"
9,bezahlen,,,"to pay",verb,"Ich möchte bitte bezahlen.","I would like to pay, please."
10,Trinkgeld,das,Trinkgelder,"tip",noun,"Wir geben zehn Prozent Trinkgeld.","We give a ten percent tip."
11,Bedienung,die,Bedienungen,"service; waitstaff",noun,"Die Bedienung war schnell.","The service was quick."
12,Gast,der,Gäste,"guest",noun,"Wir haben heute Gäste.","We have guests today."
13,Frühstück,das,Frühstücke,"breakfast",noun,"Das Frühstück gibt es ab sieben.","Breakfast is served from seven."
14,Mittagessen,das,Mittagessen,"lunch",noun,"Zum Mittagessen gibt es Suppe.","There is soup for lunch."
15,Abendessen,das,Abendessen,"dinner; supper",noun,"Das Abendessen ist fertig.","Dinner is ready."
16,Vorspeise,die,Vorspeisen,"starter; appetizer",noun,"Als Vorspeise nehme ich Salat.","I will have salad as a starter."
17,Hauptgericht,das,Hauptgerichte,"main course",noun,"Das Hauptgericht kommt gleich.","The main course is coming soon."
18,Nachtisch,der,Nachtische,"dessert",noun,"Zum Nachtisch gibt es Eis.","There is ice cream for dessert."
19,Beilage,die,Beilagen,"side dish",noun,"Als Beilage möchte ich Reis.","I would like rice as a side dish."
